trip_id,arrival_time,departure_time,stop_id,stop_sequence
87068,06:00:00,06:00:00,20605,1
87068,,,20730,2
87068,,,20606,3
87068,,,20608,4
87068,06:07:00,06:07:00,20609,5
87068,,,20610,6
87068,06:12:00,06:12:00,20611,7
87068,,,20612,8
87068,,,20614,9
87068,,,20615,10
87068,,,20616,11
87068,06:28:00,06:28:00,20631,12
87068,,,20617,13
87068,06:33:00,06:33:00,20618,14
87068,,,20619,15
87068,,,20622,16
87068,,,20620,17
87068,06:42:00,06:42:00,20621,18
87068,06:47:00,06:47:00,20623,19
87433,07:00:00,07:00:00,20605,1
87433,,,20730,2
87433,,,20606,3
87433,,,20608,4
87433,07:07:00,07:07:00,20609,5
87433,,,20610,6
87433,07:12:00,07:12:00,20611,7
87433,,,20612,8
87433,,,20614,9
87433,,,20615,10
87433,,,20616,11
87433,07:28:00,07:28:00,20631,12
87433,,,20617,13
87433,07:33:00,07:33:00,20618,14
87433,,,20619,15
87433,,,20622,16
87433,,,20620,17
87433,07:42:00,07:42:00,20621,18
87433,07:47:00,07:47:00,20623,19
87434,08:00:00,08:00:00,20605,1
87434,,,20730,2
87434,,,20606,3
87434,,,20608,4
87434,08:07:00,08:07:00,20609,5
87434,,,20610,6
87434,08:12:00,08:12:00,20611,7
87434,,,20612,8
87434,,,20614,9
87434,,,20615,10
87434,,,20616,11
87434,08:28:00,08:28:00,20631,12
87434,,,20617,13
87434,08:33:00,08:33:00,20618,14
87434,,,20619,15
87434,,,20622,16
87434,,,20620,17
87434,08:42:00,08:42:00,20621,18
87434,08:47:00,08:47:00,20623,19
87435,09:00:00,09:00:00,20605,1
87435,,,20730,2
87435,,,20606,3
87435,,,20608,4
87435,09:07:00,09:07:00,20609,5
87435,,,20610,6
87435,09:12:00,09:12:00,20611,7
87435,,,20612,8
87435,,,20614,9
87435,,,20615,10
87435,,,20616,11
87435,09:28:00,09:28:00,20631,12
87435,,,20617,13
87435,09:33:00,09:33:00,20618,14
87435,,,20619,15
87435,,,20622,16
87435,,,20620,17
87435,09:42:00,09:42:00,20621,18
87435,09:47:00,09:47:00,20623,19
87436,10:00:00,10:00:00,20605,1
87436,,,20730,2
87436,,,20606,3
87436,,,20608,4
87436,10:07:00,10:07:00,20609,5
87436,,,20610,6
87436,10:12:00,10:12:00,20611,7
87436,,,20612,8
87436,,,20614,9
87436,,,20615,10
87436,,,20616,11
87436,10:28:00,10:28:00,20631,12
87436,,,20617,13
87436,10:33:00,10:33:00,20618,14
87436,,,20619,15
87436,,,20622,16
87436,,,20620,17
87436,10:42:00,10:42:00,20621,18
87436,10:47:00,10:47:00,20623,19
87437,11:00:00,11:00:00,20605,1
87437,,,20730,2
87437,,,20606,3
87437,,,20608,4
87437,11:07:00,11:07:00,20609,5
87437,,,20610,6
87437,11:12:00,11:12:00,20611,7
87437,,,20612,8
87437,,,20614,9
87437,,,20615,10
87437,,,20616,11
87437,11:28:00,11:28:00,20631,12
87437,,,20617,13
87437,11:33:00,11:33:00,20618,14
87437,,,20619,15
87437,,,20622,16
87437,,,20620,17
87437,11:42:00,11:42:00,20621,18
87437,11:47:00,11:47:00,20623,19
87438,12:00:00,12:00:00,20605,1
87438,,,20730,2
87438,,,20606,3
87438,,,20608,4
87438,12:07:00,12:07:00,20609,5
87438,,,20610,6
87438,12:12:00,12:12:00,20611,7
87438,,,20612,8
87438,,,20614,9
87438,,,20615,10
87438,,,20616,11
87438,12:28:00,12:28:00,20631,12
87438,,,20617,13
87438,12:33:00,12:33:00,20618,14
87438,,,20619,15
87438,,,20622,16
87438,,,20620,17
87438,12:42:00,12:42:00,20621,18
87438,12:47:00,12:47:00,20623,19
87439,13:00:00,13:00:00,20605,1
87439,,,20730,2
87439,,,20606,3
87439,,,20608,4
87439,13:07:00,13:07:00,20609,5
87439,,,20610,6
87439,13:12:00,13:12:00,20611,7
87439,,,20612,8
87439,,,20614,9
87439,,,20615,10
87439,,,20616,11
87439,13:28:00,13:28:00,20631,12
87439,,,20617,13
87439,13:33:00,13:33:00,20618,14
87439,,,20619,15
87439,,,20622,16
87439,,,20620,17
87439,13:42:00,13:42:00,20621,18
87439,13:47:00,13:47:00,20623,19
87440,14:00:00,14:00:00,20605,1
87440,,,20730,2
87440,,,20606,3
87440,,,20608,4
87440,14:07:00,14:07:00,20609,5
87440,,,20610,6
87440,14:12:00,14:12:00,20611,7
87440,,,20612,8
87440,,,20614,9
87440,,,20615,10
87440,,,20616,11
87440,14:28:00,14:28:00,20631,12
87440,,,20617,13
87440,14:33:00,14:33:00,20618,14
87440,,,20619,15
87440,,,20622,16
87440,,,20620,17
87440,14:42:00,14:42:00,20621,18
87440,14:47:00,14:47:00,20623,19
87441,15:00:00,15:00:00,20605,1
87441,,,20730,2
87441,,,20606,3
87441,,,20608,4
87441,15:07:00,15:07:00,20609,5
87441,,,20610,6
87441,15:12:00,15:12:00,20611,7
87441,,,20612,8
87441,,,20614,9
87441,,,20615,10
87441,,,20616,11
87441,15:28:00,15:28:00,20631,12
87441,,,20617,13
87441,15:33:00,15:33:00,20618,14
87441,,,20619,15
87441,,,20622,16
87441,,,20620,17
87441,15:42:00,15:42:00,20621,18
87441,15:47:00,15:47:00,20623,19
87442,16:00:00,16:00:00,20605,1
87442,,,20730,2
87442,,,20606,3
87442,,,20608,4
87442,16:07:00,16:07:00,20609,5
87442,,,20610,6
87442,16:12:00,16:12:00,20611,7
87442,,,20612,8
87442,,,20614,9
87442,,,20615,10
87442,,,20616,11
87442,16:28:00,16:28:00,20631,12
87442,,,20617,13
87442,16:33:00,16:33:00,20618,14
87442,,,20619,15
87442,,,20622,16
87442,,,20620,17
87442,16:42:00,16:42:00,20621,18
87442,16:47:00,16:47:00,20623,19
87443,17:00:00,17:00:00,20605,1
87443,,,20730,2
87443,,,20606,3
87443,,,20608,4
87443,17:07:00,17:07:00,20609,5
87443,,,20610,6
87443,17:12:00,17:12:00,20611,7
87443,,,20612,8
87443,,,20614,9
87443,,,20615,10
87443,,,20616,11
87443,17:28:00,17:28:00,20631,12
87443,,,20617,13
87443,17:33:00,17:33:00,20618,14
87443,,,20619,15
87443,,,20622,16
87443,,,20620,17
87443,17:42:00,17:42:00,20621,18
87443,17:47:00,17:47:00,20623,19
87444,18:00:00,18:00:00,20605,1
87444,,,20730,2
87444,,,20606,3
87444,,,20608,4
87444,18:07:00,18:07:00,20609,5
87444,,,20610,6
87444,18:12:00,18:12:00,20611,7
87444,,,20612,8
87444,,,20614,9
87444,,,20615,10
87444,,,20616,11
87444,18:28:00,18:28:00,20631,12
87444,,,20617,13
87444,18:33:00,18:33:00,20618,14
87444,,,20619,15
87444,,,20622,16
87444,,,20620,17
87444,18:42:00,18:42:00,20621,18
87444,18:47:00,18:47:00,20623,19
87445,19:00:00,19:00:00,20605,1
87445,,,20730,2
87445,,,20606,3
87445,,,20608,4
87445,19:07:00,19:07:00,20609,5
87445,,,20610,6
87445,19:12:00,19:12:00,20611,7
87445,,,20612,8
87445,,,20614,9
87445,,,20615,10
87445,,,20616,11
87445,19:28:00,19:28:00,20631,12
87445,,,20617,13
87445,19:33:00,19:33:00,20618,14
87445,,,20619,15
87445,,,20622,16
87445,,,20620,17
87445,19:42:00,19:42:00,20621,18
87445,19:47:00,19:47:00,20623,19
87446,20:00:00,20:00:00,20605,1
87446,,,20730,2
87446,,,20606,3
87446,,,20608,4
87446,20:07:00,20:07:00,20609,5
87446,,,20610,6
87446,20:12:00,20:12:00,20611,7
87446,,,20612,8
87446,,,20614,9
87446,,,20615,10
87446,,,20616,11
87446,20:28:00,20:28:00,20631,12
87446,,,20617,13
87446,20:33:00,20:33:00,20618,14
87446,,,20619,15
87446,,,20622,16
87446,,,20620,17
87446,20:42:00,20:42:00,20621,18
87446,20:47:00,20:47:00,20623,19
87447,06:36:00,06:36:00,20605,1
87447,,,20730,2
87447,,,20606,3
87447,,,20608,4
87447,06:43:00,06:43:00,20609,5
87447,,,20610,6
87447,06:48:00,06:48:00,20611,7
87447,,,20612,8
87447,,,20614,9
87447,,,20615,10
87447,,,20616,11
87447,07:04:00,07:04:00,20631,12
87447,,,20617,13
87447,07:10:00,07:10:00,20618,14
87447,,,20619,15
87447,,,20622,16
87447,,,20620,17
87447,07:19:00,07:19:00,20621,18
87447,07:24:00,07:24:00,20623,19
87448,07:36:00,07:36:00,20605,1
87448,,,20730,2
87448,,,20606,3
87448,,,20608,4
87448,07:43:00,07:43:00,20609,5
87448,,,20610,6
87448,07:48:00,07:48:00,20611,7
87448,,,20612,8
87448,,,20614,9
87448,,,20615,10
87448,,,20616,11
87448,08:04:00,08:04:00,20631,12
87448,,,20617,13
87448,08:10:00,08:10:00,20618,14
87448,,,20619,15
87448,,,20622,16
87448,,,20620,17
87448,08:19:00,08:19:00,20621,18
87448,08:24:00,08:24:00,20623,19
87449,08:36:00,08:36:00,20605,1
87449,,,20730,2
87449,,,20606,3
87449,,,20608,4
87449,08:43:00,08:43:00,20609,5
87449,,,20610,6
87449,08:48:00,08:48:00,20611,7
87449,,,20612,8
87449,,,20614,9
87449,,,20615,10
87449,,,20616,11
87449,09:04:00,09:04:00,20631,12
87449,,,20617,13
87449,09:10:00,09:10:00,20618,14
87449,,,20619,15
87449,,,20622,16
87449,,,20620,17
87449,09:19:00,09:19:00,20621,18
87449,09:24:00,09:24:00,20623,19
87456,15:36:00,15:36:00,20605,1
87456,,,20730,2
87456,,,20606,3
87456,,,20608,4
87456,15:43:00,15:43:00,20609,5
87456,,,20610,6
87456,15:48:00,15:48:00,20611,7
87456,,,20612,8
87456,,,20614,9
87456,,,20615,10
87456,,,20616,11
87456,16:04:00,16:04:00,20631,12
87456,,,20617,13
87456,16:10:00,16:10:00,20618,14
87456,,,20619,15
87456,,,20622,16
87456,,,20620,17
87456,16:19:00,16:19:00,20621,18
87456,16:24:00,16:24:00,20623,19
87457,16:36:00,16:36:00,20605,1
87457,,,20730,2
87457,,,20606,3
87457,,,20608,4
87457,16:43:00,16:43:00,20609,5
87457,,,20610,6
87457,16:48:00,16:48:00,20611,7
87457,,,20612,8
87457,,,20614,9
87457,,,20615,10
87457,,,20616,11
87457,17:04:00,17:04:00,20631,12
87457,,,20617,13
87457,17:10:00,17:10:00,20618,14
87457,,,20619,15
87457,,,20622,16
87457,,,20620,17
87457,17:19:00,17:19:00,20621,18
87457,17:24:00,17:24:00,20623,19
87458,17:36:00,17:36:00,20605,1
87458,,,20730,2
87458,,,20606,3
87458,,,20608,4
87458,17:43:00,17:43:00,20609,5
87458,,,20610,6
87458,17:48:00,17:48:00,20611,7
87458,,,20612,8
87458,,,20614,9
87458,,,20615,10
87458,,,20616,11
87458,18:04:00,18:04:00,20631,12
87458,,,20617,13
87458,18:10:00,18:10:00,20618,14
87458,,,20619,15
87458,,,20622,16
87458,,,20620,17
87458,18:19:00,18:19:00,20621,18
87458,18:24:00,18:24:00,20623,19
87508,07:00:00,07:00:00,20605,1
87508,,,20730,2
87508,,,20606,3
87508,,,20608,4
87508,07:07:00,07:07:00,20609,5
87508,,,20610,6
87508,07:12:00,07:12:00,20611,7
87508,,,20612,8
87508,,,20614,9
87508,,,20615,10
87508,,,20616,11
87508,07:28:00,07:28:00,20631,12
87508,,,20617,13
87508,07:33:00,07:33:00,20618,14
87508,,,20619,15
87508,,,20622,16
87508,,,20620,17
87508,07:42:00,07:42:00,20621,18
87508,07:47:00,07:47:00,20623,19
87509,08:00:00,08:00:00,20605,1
87509,,,20730,2
87509,,,20606,3
87509,,,20608,4
87509,08:07:00,08:07:00,20609,5
87509,,,20610,6
87509,08:12:00,08:12:00,20611,7
87509,,,20612,8
87509,,,20614,9
87509,,,20615,10
87509,,,20616,11
87509,08:28:00,08:28:00,20631,12
87509,,,20617,13
87509,08:33:00,08:33:00,20618,14
87509,,,20619,15
87509,,,20622,16
87509,,,20620,17
87509,08:42:00,08:42:00,20621,18
87509,08:47:00,08:47:00,20623,19
87510,09:00:00,09:00:00,20605,1
87510,,,20730,2
87510,,,20606,3
87510,,,20608,4
87510,09:07:00,09:07:00,20609,5
87510,,,20610,6
87510,09:12:00,09:12:00,20611,7
87510,,,20612,8
87510,,,20614,9
87510,,,20615,10
87510,,,20616,11
87510,09:28:00,09:28:00,20631,12
87510,,,20617,13
87510,09:33:00,09:33:00,20618,14
87510,,,20619,15
87510,,,20622,16
87510,,,20620,17
87510,09:42:00,09:42:00,20621,18
87510,09:47:00,09:47:00,20623,19
87511,10:00:00,10:00:00,20605,1
87511,,,20730,2
87511,,,20606,3
87511,,,20608,4
87511,10:07:00,10:07:00,20609,5
87511,,,20610,6
87511,10:12:00,10:12:00,20611,7
87511,,,20612,8
87511,,,20614,9
87511,,,20615,10
87511,,,20616,11
87511,10:28:00,10:28:00,20631,12
87511,,,20617,13
87511,10:33:00,10:33:00,20618,14
87511,,,20619,15
87511,,,20622,16
87511,,,20620,17
87511,10:42:00,10:42:00,20621,18
87511,10:47:00,10:47:00,20623,19
87512,11:00:00,11:00:00,20605,1
87512,,,20730,2
87512,,,20606,3
87512,,,20608,4
87512,11:07:00,11:07:00,20609,5
87512,,,20610,6
87512,11:12:00,11:12:00,20611,7
87512,,,20612,8
87512,,,20614,9
87512,,,20615,10
87512,,,20616,11
87512,11:28:00,11:28:00,20631,12
87512,,,20617,13
87512,11:33:00,11:33:00,20618,14
87512,,,20619,15
87512,,,20622,16
87512,,,20620,17
87512,11:42:00,11:42:00,20621,18
87512,11:47:00,11:47:00,20623,19
87513,12:00:00,12:00:00,20605,1
87513,,,20730,2
87513,,,20606,3
87513,,,20608,4
87513,12:07:00,12:07:00,20609,5
87513,,,20610,6
87513,12:12:00,12:12:00,20611,7
87513,,,20612,8
87513,,,20614,9
87513,,,20615,10
87513,,,20616,11
87513,12:28:00,12:28:00,20631,12
87513,,,20617,13
87513,12:33:00,12:33:00,20618,14
87513,,,20619,15
87513,,,20622,16
87513,,,20620,17
87513,12:42:00,12:42:00,20621,18
87513,12:47:00,12:47:00,20623,19
87514,13:00:00,13:00:00,20605,1
87514,,,20730,2
87514,,,20606,3
87514,,,20608,4
87514,13:07:00,13:07:00,20609,5
87514,,,20610,6
87514,13:12:00,13:12:00,20611,7
87514,,,20612,8
87514,,,20614,9
87514,,,20615,10
87514,,,20616,11
87514,13:28:00,13:28:00,20631,12
87514,,,20617,13
87514,13:33:00,13:33:00,20618,14
87514,,,20619,15
87514,,,20622,16
87514,,,20620,17
87514,13:42:00,13:42:00,20621,18
87514,13:47:00,13:47:00,20623,19
87515,14:00:00,14:00:00,20605,1
87515,,,20730,2
87515,,,20606,3
87515,,,20608,4
87515,14:07:00,14:07:00,20609,5
87515,,,20610,6
87515,14:12:00,14:12:00,20611,7
87515,,,20612,8
87515,,,20614,9
87515,,,20615,10
87515,,,20616,11
87515,14:28:00,14:28:00,20631,12
87515,,,20617,13
87515,14:33:00,14:33:00,20618,14
87515,,,20619,15
87515,,,20622,16
87515,,,20620,17
87515,14:42:00,14:42:00,20621,18
87515,14:47:00,14:47:00,20623,19
87516,15:00:00,15:00:00,20605,1
87516,,,20730,2
87516,,,20606,3
87516,,,20608,4
87516,15:07:00,15:07:00,20609,5
87516,,,20610,6
87516,15:12:00,15:12:00,20611,7
87516,,,20612,8
87516,,,20614,9
87516,,,20615,10
87516,,,20616,11
87516,15:28:00,15:28:00,20631,12
87516,,,20617,13
87516,15:33:00,15:33:00,20618,14
87516,,,20619,15
87516,,,20622,16
87516,,,20620,17
87516,15:42:00,15:42:00,20621,18
87516,15:47:00,15:47:00,20623,19
87517,16:00:00,16:00:00,20605,1
87517,,,20730,2
87517,,,20606,3
87517,,,20608,4
87517,16:07:00,16:07:00,20609,5
87517,,,20610,6
87517,16:12:00,16:12:00,20611,7
87517,,,20612,8
87517,,,20614,9
87517,,,20615,10
87517,,,20616,11
87517,16:28:00,16:28:00,20631,12
87517,,,20617,13
87517,16:33:00,16:33:00,20618,14
87517,,,20619,15
87517,,,20622,16
87517,,,20620,17
87517,16:42:00,16:42:00,20621,18
87517,16:47:00,16:47:00,20623,19
87518,17:00:00,17:00:00,20605,1
87518,,,20730,2
87518,,,20606,3
87518,,,20608,4
87518,17:07:00,17:07:00,20609,5
87518,,,20610,6
87518,17:12:00,17:12:00,20611,7
87518,,,20612,8
87518,,,20614,9
87518,,,20615,10
87518,,,20616,11
87518,17:28:00,17:28:00,20631,12
87518,,,20617,13
87518,17:33:00,17:33:00,20618,14
87518,,,20619,15
87518,,,20622,16
87518,,,20620,17
87518,17:42:00,17:42:00,20621,18
87518,17:47:00,17:47:00,20623,19
87519,18:00:00,18:00:00,20605,1
87519,,,20730,2
87519,,,20606,3
87519,,,20608,4
87519,18:07:00,18:07:00,20609,5
87519,,,20610,6
87519,18:12:00,18:12:00,20611,7
87519,,,20612,8
87519,,,20614,9
87519,,,20615,10
87519,,,20616,11
87519,18:28:00,18:28:00,20631,12
87519,,,20617,13
87519,18:33:00,18:33:00,20618,14
87519,,,20619,15
87519,,,20622,16
87519,,,20620,17
87519,18:42:00,18:42:00,20621,18
87519,18:47:00,18:47:00,20623,19
87520,19:00:00,19:00:00,20605,1
87520,,,20730,2
87520,,,20606,3
87520,,,20608,4
87520,19:07:00,19:07:00,20609,5
87520,,,20610,6
87520,19:12:00,19:12:00,20611,7
87520,,,20612,8
87520,,,20614,9
87520,,,20615,10
87520,,,20616,11
87520,19:28:00,19:28:00,20631,12
87520,,,20617,13
87520,19:33:00,19:33:00,20618,14
87520,,,20619,15
87520,,,20622,16
87520,,,20620,17
87520,19:42:00,19:42:00,20621,18
87520,19:47:00,19:47:00,20623,19
87521,20:00:00,20:00:00,20605,1
87521,,,20730,2
87521,,,20606,3
87521,,,20608,4
87521,20:07:00,20:07:00,20609,5
87521,,,20610,6
87521,20:12:00,20:12:00,20611,7
87521,,,20612,8
87521,,,20614,9
87521,,,20615,10
87521,,,20616,11
87521,20:28:00,20:28:00,20631,12
87521,,,20617,13
87521,20:33:00,20:33:00,20618,14
87521,,,20619,15
87521,,,20622,16
87521,,,20620,17
87521,20:42:00,20:42:00,20621,18
87521,20:47:00,20:47:00,20623,19
88634,06:00:00,06:00:00,20625,1
88634,,,20822,2
88634,,,20626,3
88634,,,20817,4
88634,,,20627,5
88634,,,20628,6
88634,06:05:00,06:05:00,20629,7
88634,,,23415,8
88634,,,23416,9
88634,,,20818,10
88634,06:18:00,06:18:00,20631,11
88634,,,20617,12
88634,,,20658,13
88634,,,20657,14
88634,06:26:00,06:26:00,20633,15
88634,06:30:00,06:30:00,20634,16
88634,06:35:00,06:35:00,20635,17
88634,,,20636,18
88634,06:42:00,06:42:00,20618,19
88634,,,20619,20
88634,,,20622,21
88634,,,20620,22
88634,06:48:00,06:48:00,20638,23
88634,,,20717,24
88634,07:00:00,07:00:00,20639,25
88643,07:05:00,07:05:00,20625,1
88643,,,20822,2
88643,,,20626,3
88643,,,20817,4
88643,,,20627,5
88643,,,20628,6
88643,07:10:00,07:10:00,20629,7
88643,,,23415,8
88643,,,23416,9
88643,,,20818,10
88643,07:23:00,07:23:00,20631,11
88643,,,20617,12
88643,,,20658,13
88643,,,20657,14
88643,07:31:00,07:31:00,20633,15
88643,07:35:00,07:35:00,20634,16
88643,07:40:00,07:40:00,20635,17
88643,,,20636,18
88643,07:47:00,07:47:00,20618,19
88643,,,20619,20
88643,,,20622,21
88643,,,20620,22
88643,07:53:00,07:53:00,20638,23
88643,,,20717,24
88643,07:57:00,07:57:00,20639,25
88644,08:10:00,08:10:00,20625,1
88644,,,20822,2
88644,,,20626,3
88644,,,20817,4
88644,,,20627,5
88644,,,20628,6
88644,08:15:00,08:15:00,20629,7
88644,,,23415,8
88644,,,23416,9
88644,,,20818,10
88644,08:28:00,08:28:00,20631,11
88644,,,20617,12
88644,,,20658,13
88644,,,20657,14
88644,08:36:00,08:36:00,20633,15
88644,08:40:00,08:40:00,20634,16
88644,08:45:00,08:45:00,20635,17
88644,,,20636,18
88644,08:52:00,08:52:00,20618,19
88644,,,20619,20
88644,,,20622,21
88644,,,20620,22
88644,08:58:00,08:58:00,20638,23
88644,,,20717,24
88644,09:02:00,09:02:00,20639,25
88645,09:15:00,09:15:00,20625,1
88645,,,20822,2
88645,,,20626,3
88645,,,20817,4
88645,,,20627,5
88645,,,20628,6
88645,09:20:00,09:20:00,20629,7
88645,,,23415,8
88645,,,23416,9
88645,,,20818,10
88645,09:33:00,09:33:00,20631,11
88645,,,20617,12
88645,,,20658,13
88645,,,20657,14
88645,09:41:00,09:41:00,20633,15
88645,09:45:00,09:45:00,20634,16
88645,09:50:00,09:50:00,20635,17
88645,,,20636,18
88645,09:57:00,09:57:00,20618,19
88645,,,20619,20
88645,,,20622,21
88645,,,20620,22
88645,10:03:00,10:03:00,20638,23
88645,,,20717,24
88645,10:07:00,10:07:00,20639,25
88646,10:20:00,10:20:00,20625,1
88646,,,20822,2
88646,,,20626,3
88646,,,20817,4
88646,,,20627,5
88646,,,20628,6
88646,10:25:00,10:25:00,20629,7
88646,,,23415,8
88646,,,23416,9
88646,,,20818,10
88646,10:38:00,10:38:00,20631,11
88646,,,20617,12
88646,,,20658,13
88646,,,20657,14
88646,10:46:00,10:46:00,20633,15
88646,10:50:00,10:50:00,20634,16
88646,10:55:00,10:55:00,20635,17
88646,,,20636,18
88646,11:02:00,11:02:00,20618,19
88646,,,20619,20
88646,,,20622,21
88646,,,20620,22
88646,11:08:00,11:08:00,20638,23
88646,,,20717,24
88646,11:12:00,11:12:00,20639,25
88647,11:25:00,11:25:00,20625,1
88647,,,20822,2
88647,,,20626,3
88647,,,20817,4
88647,,,20627,5
88647,,,20628,6
88647,11:30:00,11:30:00,20629,7
88647,,,23415,8
88647,,,23416,9
88647,,,20818,10
88647,11:43:00,11:43:00,20631,11
88647,,,20617,12
88647,,,20658,13
88647,,,20657,14
88647,11:51:00,11:51:00,20633,15
88647,11:55:00,11:55:00,20634,16
88647,12:00:00,12:00:00,20635,17
88647,,,20636,18
88647,12:07:00,12:07:00,20618,19
88647,,,20619,20
88647,,,20622,21
88647,,,20620,22
88647,12:13:00,12:13:00,20638,23
88647,,,20717,24
88647,12:17:00,12:17:00,20639,25
88648,12:30:00,12:30:00,20625,1
88648,,,20822,2
88648,,,20626,3
88648,,,20817,4
88648,,,20627,5
88648,,,20628,6
88648,12:35:00,12:35:00,20629,7
88648,,,23415,8
88648,,,23416,9
88648,,,20818,10
88648,12:48:00,12:48:00,20631,11
88648,,,20617,12
88648,,,20658,13
88648,,,20657,14
88648,12:56:00,12:56:00,20633,15
88648,13:00:00,13:00:00,20634,16
88648,13:05:00,13:05:00,20635,17
88648,,,20636,18
88648,13:12:00,13:12:00,20618,19
88648,,,20619,20
88648,,,20622,21
88648,,,20620,22
88648,13:18:00,13:18:00,20638,23
88648,,,20717,24
88648,13:22:00,13:22:00,20639,25
88649,13:35:00,13:35:00,20625,1
88649,,,20822,2
88649,,,20626,3
88649,,,20817,4
88649,,,20627,5
88649,,,20628,6
88649,13:40:00,13:40:00,20629,7
88649,,,23415,8
88649,,,23416,9
88649,,,20818,10
88649,13:53:00,13:53:00,20631,11
88649,,,20617,12
88649,,,20658,13
88649,,,20657,14
88649,14:01:00,14:01:00,20633,15
88649,14:05:00,14:05:00,20634,16
88649,14:10:00,14:10:00,20635,17
88649,,,20636,18
88649,14:17:00,14:17:00,20618,19
88649,,,20619,20
88649,,,20622,21
88649,,,20620,22
88649,14:23:00,14:23:00,20638,23
88649,,,20717,24
88649,14:27:00,14:27:00,20639,25
88650,14:40:00,14:40:00,20625,1
88650,,,20822,2
88650,,,20626,3
88650,,,20817,4
88650,,,20627,5
88650,,,20628,6
88650,14:45:00,14:45:00,20629,7
88650,,,23415,8
88650,,,23416,9
88650,,,20818,10
88650,14:58:00,14:58:00,20631,11
88650,,,20617,12
88650,,,20658,13
88650,,,20657,14
88650,15:06:00,15:06:00,20633,15
88650,15:10:00,15:10:00,20634,16
