route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
6712,6720,87068,,,0,6712,0,0
6712,6720,87433,,,0,6712,0,0
6712,6720,87434,,,0,6712,0,0
6712,6720,87435,,,0,6712,0,0
6712,6720,87436,,,0,6712,0,0
6712,6720,87437,,,0,6712,0,0
6712,6720,87438,,,0,6712,0,0
6712,6720,87439,,,0,6712,0,0
6712,6720,87440,,,0,6712,0,0
6712,6720,87441,,,0,6712,0,0
6712,6720,87442,,,0,6712,0,0
6712,6720,87443,,,0,6712,0,0
6712,6720,87444,,,0,6712,0,0
6712,6720,87445,,,0,6712,0,0
6712,6720,87446,,,0,6712,0,0
6712,6720,87447,,,0,6712,0,0
6712,6720,87448,,,0,6712,0,0
6712,6720,87449,,,0,6712,0,0
6712,6720,87456,,,0,6712,0,0
6712,6720,87457,,,0,6712,0,0
6712,6720,87458,,,0,6712,0,0
6712,6712.13813,87508,,,0,6712,0,0
6712,6712.13813,87509,,,0,6712,0,0
6712,6712.13813,87510,,,0,6712,0,0
6712,6712.13813,87511,,,0,6712,0,0
6712,6712.13813,87512,,,0,6712,0,0
6712,6712.13813,87513,,,0,6712,0,0
6712,6712.13813,87514,,,0,6712,0,0
6712,6712.13813,87515,,,0,6712,0,0
6712,6712.13813,87516,,,0,6712,0,0
6712,6712.13813,87517,,,0,6712,0,0
6712,6712.13813,87518,,,0,6712,0,0
6712,6712.13813,87519,,,0,6712,0,0
6712,6712.13813,87520,,,0,6712,0,0
6712,6712.13813,87521,,,0,6712,0,0
6792,6720,88634,,,0,6792,0,0
6792,6720,88643,,,0,6792,0,0
6792,6720,88644,,,0,6792,0,0
6792,6720,88645,,,0,6792,0,0
6792,6720,88646,,,0,6792,0,0
6792,6720,88647,,,0,6792,0,0
6792,6720,88648,,,0,6792,0,0
6792,6720,88649,,,0,6792,0,0
6792,6720,88650,,,0,6792,0,0
6792,6720,88651,,,0,6792,0,0
6792,6720,88652,,,0,6792,0,0
6792,6720,88653,,,0,6792,0,0
6792,6720,88654,,,0,6792,0,0
6792,6720,88655,,,0,6792,0,0
6792,6720,88640,,,0,6792,0,0
6792,6720,88657,,,0,6792,0,0
6792,6720,88658,,,0,6792,0,0
6792,6720,88641,,,0,6792,0,0
6792,6720,88660,,,0,6792,0,0
6792,6720,88661,,,0,6792,0,0
6792,6720,88662,,,0,6792,0,0
6792,6712.13813,88642,,,0,6792,0,0
6792,6712.13813,88664,,,0,6792,0,0
6792,6712.13813,88665,,,0,6792,0,0
6792,6712.13813,88666,,,0,6792,0,0
6792,6712.13813,88667,,,0,6792,0,0
6792,6712.13813,88668,,,0,6792,0,0
6720,6720,87249,,,0,6720,0,0
6720,6720,87565,,,0,6720,0,0
6720,6720,87566,,,0,6720,0,0
6720,6720,87567,,,0,6720,0,0
6720,6720,87568,,,0,6720,0,0
6720,6720,87569,,,0,6720,0,0
6720,6720,87570,,,0,6720,0,0
6720,6720,87571,,,0,6720,0,0
6720,6720,87572,,,0,6720,0,0
6720,6720,87573,,,0,6720,0,0
6720,6720,87574,,,0,6720,0,0
6720,6720,87575,,,0,6720,0,0
6720,6720,87576,,,0,6720,0,0
6720,6720,87577,,,0,6720,0,0
6720,6720,87562,,,0,6720,0,0
6720,6720,87879,,,0,6720,0,0
6720,6720,87880,,,0,6720,0,0
6720,6720,87563,,,0,6720,0,0
6720,6720,87882,,,0,6720,0,0
6720,6720,87883,,,0,6720,0,0
6720,6712.13813,87564,,,0,6720,0,0
6720,6712.13813,87885,,,0,6720,0,0
6720,6712.13813,87886,,,0,6720,0,0
6720,6712.13813,87887,,,0,6720,0,0
6720,6712.13813,87888,,,0,6720,0,0
6720,6712.13813,87889,,,0,6720,0,0
6720,6712.13813,87890,,,0,6720,0,0
6720,6712.13813,87891,,,0,6720,0,0
6720,6712.13813,87892,,,0,6720,0,0
6720,6712.13813,87893,,,0,6720,0,0
6720,6712.13813,87894,,,0,6720,0,0
6720,6712.13813,87895,,,0,6720,0,0
6720,6712.13813,87896,,,0,6720,0,0
6720,6712.13813,87897,,,0,6720,0,0
6721,6720,87250,,,0,6721,0,0
6721,6720,87988,,,0,6721,0,0
6721,6720,87989,,,0,6721,0,0
6721,6720,87990,,,0,6721,0,0
6721,6720,105914,,,0,6721,0,0
6721,6720,88005,,,0,6721,0,0
6721,6720,88006,,,0,6721,0,0
6721,6720,88007,,,0,6721,0,0
6721,6720,88009,,,0,6721,0,0
6721,6720,88010,,,0,6721,0,0
6721,6720,88011,,,0,6721,0,0
6721,6712.13813,88014,,,0,6721,0,0
6721,6712.13813,88159,,,0,6721,0,0
6721,6712.13813,88160,,,0,6721,0,0
6721,6712.13813,88161,,,0,6721,0,0
6721,6712.13813,88162,,,0,6721,0,0
6721,6712.13813,88163,,,0,6721,0,0
6721,6712.13813,88164,,,0,6721,0,0
6721,6712.13813,93562,,,0,6721,0,0
6721,6712.13813,93563,,,0,6721,0,0
6721,6720,88045,,,0,6721,0,0
6721,6720,88046,,,0,6721,0,0
6721,6720,88047,,,0,6721,0,0
6721,6720,88048,,,0,6721,0,0
6721,6720,88049,,,0,6721,0,0
6721,6720,88147,,,0,6721,0,0
6721,6720,88150,,,0,6721,0,0
6721,6720,88151,,,0,6721,0,0
6721,6720,88152,,,0,6721,0,0
6721,6720,88153,,,0,6721,0,0
6721,6720,88148,,,0,6721,0,0
6721,6720,88155,,,0,6721,0,0
6721,6720,88156,,,0,6721,0,0
6721,6720,88157,,,0,6721,0,0
6721,6720,88158,,,0,6721,0,0
6721,6712.13813,93576,,,0,6721,0,0
6721,6712.13813,93577,,,0,6721,0,0
6721,6712.13813,93578,,,0,6721,0,0
6721,6712.13813,93579,,,0,6721,0,0
6721,6712.13813,93580,,,0,6721,0,0
6721,6712.13813,93581,,,0,6721,0,0
6721,6712.13813,93582,,,0,6721,0,0
6721,6712.13813,93583,,,0,6721,0,0